objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Raptor","177639","9","","0","1","0","0","0","0","0","0","0","3","","","","","","57824817","6.96734","7.28084","2.0737","448","13602","thing","Raptor","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Rattlebones","150146","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57832662","5.86408","6.48173","1.5636","3442","1737","thing","Rattlebones","2","4","30","30","15","2014","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Red Dragon Inn","24310","5.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57829626","6.27031","6.56444","1.6532","1635","12935","thing","The Red Dragon Inn","2","4","45","45","45","2007","3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Resistance","41114","5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828070","7.11785","7.24947","1.6022","319","59932","thing","The Resistance","5","10","30","30","30","2009","5,6,7,8,9,10","7","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Resistance: Avalon","128882","6","","0","1","0","0","0","0","0","0","0","3","","","","","","52754161","7.36736","7.54814","1.7577","163","43027","thing","The Resistance: Avalon","5","10","30","30","30","2012","5,6,7,8,9,10","7,8","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Rhino Hero: Super Battle","218333","8","","0","1","0","0","0","0","0","0","0","3","","","","","","97147663","6.7301","7.25889","1.1194","722","8405","thing","Rhino Hero: Super Battle","2","4","20","20","10","2017","2,3,4","3,4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Rising 5: Runes of Asteros","185196","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57824694","5.99709","6.53342","1.9032","2664","2979","thing","Rising 5: Runes of Asteros","1","5","25","25","15","2017","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Robot Turtles","147370","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828172","5.68492","5.97181","1.3514","5422","3587","thing","Robot Turtles","2","5","15","15","15","2013","2,3,4","3,4","4–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Saboteur","9220","6","","0","1","0","0","0","0","0","0","0","1","","","","","","57833456","6.44201","6.5572","1.3245","1225","47804","thing","Saboteur","3","10","30","30","30","2004","5,6,7,8,9,10","7,8","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Say Anything","33604","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57829564","6.41711","6.72337","1.0916","1270","10036","thing","Say Anything","3","8","30","30","30","2008","4,5,6,7,8","6,7,8","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Schotten Totten","372","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","90596266","7.02446","7.33352","1.7166","397","15443","thing","Schotten Totten","2","2","20","20","20","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Scrimish Card Game","189890","5.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57832791","5.54806","5.92796","1.125","10902","1024","thing","Scrimish Card Game","2","999","100","100","10","2015","2,3,4,5","4","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Secret Hitler","188834","4","","0","1","0","0","0","0","0","0","0","1","","","","","","57829414","7.28127","7.5306","1.6723","209","31886","thing","Secret Hitler","5","10","45","45","45","2016","6,7,8,9,10","8,10","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sentinels of the Multiverse","102652","3","","0","1","0","0","0","0","0","0","0","3","","","","","","57832720","6.92912","7.17881","2.5062","495","21921","thing","Sentinels of the Multiverse","2","5","60","60","30","2011","1,2,3,4,5","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Shadows over Camelot","15062","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57824904","6.96047","7.10835","2.5667","456","32861","thing","Shadows over Camelot","3","7","80","80","60","2005","4,5,6,7","5,6,7","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Shark Island","197909","3.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57829384","5.47659","5.25359","2.75","21399","412","thing","Shark Island","2","5","60","60","30","2017","4,5","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Sheriff of Nottingham","157969","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57824779","6.98344","7.10703","1.6557","427","49308","thing","Sheriff of Nottingham","3","5","60","60","60","2014","3,4,5","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases","2511","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57828136","7.45999","7.68233","2.6732","126","36984","thing","Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases","1","8","120","120","60","1982","1,2,3,4","2","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Skull","92415","10","","0","1","0","0","0","0","0","0","0","3","","","","","","57829348","7.01581","7.20017","1.1265","402","27570","thing","Skull","3","6","45","45","15","2011","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Smash Up","122522","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57824797","6.55792","6.72155","2.063","1008","42224","thing","Smash Up","2","4","45","45","45","2012","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Sonar","231819","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57824702","6.04025","6.71692","1.92","2449","4550","thing","Sonar","2","4","30","30","30","2017","2,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Spyfall","166384","8","","0","1","0","0","0","0","0","0","0","3","","","","","","57828128","6.69879","6.82728","1.2369","778","27404","thing","Spyfall","3","8","15","15","15","2014","4,5,6,7,8","6","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Trek Panic","193737","5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828195","6.21096","6.99265","2.1304","1806","3830","thing","Star Trek Panic","1","6","90","90","90","2016","1,2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Empire vs. Rebellion","160964","5","","0","1","0","0","0","0","0","0","0","3","","","","","","57829360","5.87851","6.288","1.7442","3331","4598","thing","Star Wars: Empire vs. Rebellion","2","2","60","60","60","2014","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Imperial Assault","164153","6","","0","1","0","0","0","0","0","0","0","1","","","","","","62701478","7.70476","7.98635","3.3032","55","38762","thing","Star Wars: Imperial Assault","1","5","120","120","60","2014","2,3,4,5","2,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set","183562","5","","0","1","0","0","0","0","0","0","0","3","","","","","","57833808","6.87779","7.76998","2.8545","549","8043","thing","Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set","2","2","45","45","30","2015","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Survive: Escape from Atlantis!","2653","9","","0","1","0","0","0","0","0","0","0","1","","","","","","80786845","7.13372","7.31379","1.7002","303","33998","thing","Survive: Escape from Atlantis!","2","4","60","60","45","1982","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Go Party!","192291","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828303","7.26922","7.43058","1.3016","221","50996","thing","Sushi Go Party!","2","8","20","20","20","2016","2,3,4,5,6,7,8","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Go!","133473","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828301","6.91861","7.02984","1.1601","502","70504","thing","Sushi Go!","2","5","15","15","15","2013","3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Roll","271869","8","","0","1","0","0","0","0","0","0","0","3","","","","","","68649769","6.5061","7.07638","1.2353","1105","7073","thing","Sushi Roll","2","5","20","20","20","2019","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"T.I.M.E Stories","146508","7","","0","1","0","0","0","0","0","0","0","3","","-Gorgeous art work
-Clean, easy to learn/teach mechanics
-Immersive story telling
-Instant recommendation for any audience 13+","","","","40821596","7.27814","7.45996","2.5975","213","38323","thing","T.I.M.E Stories","2","4","90","90","90","2015","2,3,4","4","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"T.I.M.E Stories: A Prophecy of Dragons","189035","10","","0","1","0","0","0","0","0","0","0","3","","","","","","57824860","7.01699","7.57623","2.6418","0","13734","thing","T.I.M.E Stories: A Prophecy of Dragons","2","4","180","180","90","2016","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"T.I.M.E Stories: Estrella Drive","220836","1","","0","1","0","0","0","0","0","0","0","3","","","","","","57824875","6.34999","7.23191","2.2","0","6195","thing","T.I.M.E Stories: Estrella Drive","2","4","90","90","90","2017","2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"T.I.M.E Stories: Expedition – Endurance","193527","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57824869","6.66872","7.38222","2.2609","0","8961","thing","T.I.M.E Stories: Expedition – Endurance","2","4","90","90","60","2017","3,4","4","14+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"T.I.M.E Stories: The Marcy Case","180585","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57824864","7.06594","7.5253","2.6591","0","15616","thing","T.I.M.E Stories: The Marcy Case","2","4","90","90","60","2015","2,3,4","4","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"T.I.M.E Stories: Under the Mask","189686","2","","0","1","0","0","0","0","0","0","0","3","","","","","","57824885","6.716","7.31435","2.4615","0","11143","thing","T.I.M.E Stories: Under the Mask","2","4","90","0","90","2016","2,3,4","4","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Takenoko","70919","6","","0","1","0","0","0","0","0","0","0","3","","","","","","65133738","7.1159","7.2452","1.9753","320","61847","thing","Takenoko","2","4","45","45","45","2011","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Targi","118048","9","","0","1","0","0","0","0","0","0","0","3","","","","","","65133724","7.4411","7.63909","2.3419","129","30232","thing","Targi","2","2","60","60","60","2012","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Telestrations","46213","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828141","7.16364","7.39504","1.0746","283","21998","thing","Telestrations","4","8","30","30","30","2009","5,6,7,8","8","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Terraforming Mars","167791","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57824923","8.2556","8.40049","3.249","5","111848","thing","Terraforming Mars","1","5","120","120","120","2016","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Terraforming Mars: Hellas & Elysium","218127","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57824933","7.88093","8.39357","2.8583","0","30798","thing","Terraforming Mars: Hellas & Elysium","1","5","120","120","90","2017","1,2,3,4,5","3","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Prelude","247030","9","","0","1","0","0","0","0","0","0","0","3","","","","","","57824927","8.3703","8.83415","2.5109","0","36620","thing","Terraforming Mars: Prelude","1","5","120","120","90","2018","1,2,3,4,5","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Three-Dragon Ante: Emperor's Gambit","63196","4","","0","1","0","0","0","0","0","0","0","1","","","","","","57833092","5.76405","6.66604","1.8","4347","1269","thing","Three-Dragon Ante: Emperor's Gambit","2","6","30","30","30","2010","4,5,6","4,5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride","9209","6","","0","1","0","0","0","0","0","0","0","3","","Fine go to for casual gaming night, but given its length, I prefer several micro games over it now.","","","","40821637","7.29724","7.40742","1.8412","201","112092","thing","Ticket to Ride","2","5","60","60","30","2004","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: New York","253284","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","68075564","6.58979","6.96514","1.236","954","12680","thing","Ticket to Ride: New York","2","4","15","15","10","2018","2,3,4","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tides of Time","176229","5.5","","0","1","0","0","0","0","0","0","0","1","","","","","","57832843","6.38473","6.61841","1.5625","1335","11206","thing","Tides of Time","2","2","20","20","15","2015","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Timeline: Inventions","85256","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57829217","6.45657","6.70595","1.1019","1206","13774","thing","Timeline: Inventions","2","8","15","15","15","2010","2,3,4,5,6,7,8","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Defenders","155708","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57825272","5.94553","6.26954","1.8137","2922","6880","thing","Tiny Epic Defenders","1","4","30","30","30","2015","1,2,3,4","1","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Dinosaurs","291508","0","","0","1","0","0","0","0","0","0","0","1","","","","","","76233424","6.5676","7.37984","2.6","994","7782","thing","Tiny Epic Dinosaurs","1","4","60","60","30","2020","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Galaxies","163967","9.5","","0","1","0","0","0","0","0","0","0","3","","","","","","52754237","7.1455","7.35573","2.1567","293","32612","thing","Tiny Epic Galaxies","1","5","45","45","30","2015","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Western","180852","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57825238","6.25312","6.65514","2.8774","1683","11495","thing","Tiny Epic Western","1","4","45","45","30","2016","1,3,4","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Zombies","244536","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57825391","6.49448","6.99041","2.4773","1127","13844","thing","Tiny Epic Zombies","1","5","45","45","30","2018","1,2,3,4,5","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Tsuro","16992","5.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828151","6.54513","6.66638","1.2285","1030","37338","thing","Tsuro","2","8","20","20","15","2005","2,3,4,5,6,7,8","4,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Escape Adventures – Squeek & Sausage","216092","8","","0","1","0","0","0","0","0","0","0","3","","","","","","57828251","6.53276","7.17557","2.125","1055","4205","thing","Unlock!: Escape Adventures – Squeek & Sausage","1","6","75","75","45","2017","1,2,3,4","2,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Escape Adventures – The Formula","216091","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828275","6.41725","7.01481","2.3333","1269","3995","thing","Unlock!: Escape Adventures – The Formula","1","6","75","75","45","2017","1,2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Escape Adventures – The Island of Doctor Goorse","216094","0","","0","1","0","0","0","0","0","0","0","1","","","","","","57922521","6.10827","6.70049","2.9167","2163","3461","thing","Unlock!: Escape Adventures – The Island of Doctor Goorse","2","6","60","60","60","2017","2,3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Mystery Adventures – The House on the Hill","230303","8.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828262","6.30127","7.01173","1.76","1540","3516","thing","Unlock!: Mystery Adventures – The House on the Hill","1","6","60","60","60","2017","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Mystery Adventures – The Nautilus' Traps","230304","8","","0","1","0","0","0","0","0","0","0","3","","","","","","57828257","5.74628","5.96712","2.7778","4552","3427","thing","Unlock!: Mystery Adventures – The Nautilus' Traps","1","6","60","60","60","2017","2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Mystery Adventures – The Tonipal's Treasure","230305","0","","0","1","0","0","0","0","0","0","0","1","","","","","","57922517","6.27256","7.02604","2.5263","1624","3650","thing","Unlock!: Mystery Adventures – The Tonipal's Treasure","1","6","60","60","60","2017","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Secret Adventures – A Noside Story","245352","6.5","","0","1","0","0","0","0","0","0","0","1","","","","","","57922524","6.12457","7.04423","2.5","2112","1796","thing","Unlock!: Secret Adventures – A Noside Story","1","6","60","60","60","2018","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Via Magica","300936","7","","0","1","0","0","0","0","0","0","0","1","","","","","","79179461","6.01298","6.79609","1.4545","2571","1617","thing","Via Magica","2","6","30","30","30","2020","2,3,4,5,6","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Via Nebula","191231","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","65133722","6.57868","7.04315","2.2231","970","5914","thing","Via Nebula","2","4","60","60","45","2016","2,3,4","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Viticulture Essential Edition","183394","10","","0","1","0","0","0","0","0","0","0","3","","","","","","57834784","7.88207","8.03663","2.8867","29","53858","thing","Viticulture Essential Edition","1","6","90","90","45","2015","1,2,3,4,5,6","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Viticulture: Tuscany Essential Edition","202174","9","","0","1","0","0","0","0","0","0","0","3","","","","","","79179380","7.9969","8.59306","3.266","0","22157","thing","Viticulture: Tuscany Essential Edition","1","6","150","150","60","2016","1,2,3,4,5,6","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Welcome to the Dungeon","150312","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57832871","6.42432","6.57026","1.2362","1254","23180","thing","Welcome to the Dungeon","2","4","30","30","30","2013","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Welcome To...","233867","8.5","","0","1","0","0","0","0","0","0","0","3","","","","","","69220518","7.41647","7.58173","1.8238","143","38962","thing","Welcome To...","1","100","25","25","25","2018","1,2,3,4,5,6,7,8,9,10,11,12","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Werewords","219215","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57829181","6.64429","7.14161","1.1613","867","7434","thing","Werewords","4","10","10","10","10","2017","4,5,6,7,8,9,10","6,7","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Western Legends","232405","0","","0","1","0","0","0","0","0","0","0","1","","","","","","90596152","7.21272","7.62388","2.8182","249","14548","thing","Western Legends","2","6","90","90","60","2018","3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"When I Dream","198454","5.5","","0","1","0","0","0","0","0","0","0","1","","","","","","57829452","6.57188","7.00951","1.2162","985","8789","thing","When I Dream","4","10","40","40","20","2016","4,5,6,7,8,9,10","6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Wits & Wagers Family","66588","8","","0","1","0","0","0","0","0","0","0","3","","It's cornbread: Simple, quick, highly enjoyable. It's a trivia game where the dumb-dumbs can do just as well as the know-it-alls without anyone holding back.","","","","40821713","6.23826","6.92081","1.1026","1723","4181","thing","Wits & Wagers Family","3","10","20","20","20","2010","3,4,5,6,7,8,9,10","4,5,6","6+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Wobble King","242550","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","97147587","5.50993","5.73421","1","17105","125","thing","Wobble King","2","4","15","15","5","2018","2,3,4","2,3,4","3–5","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Yeti in My Spaghetti","198961","5","","0","1","0","0","0","0","0","0","0","3","","","","","","79179614","5.41244","4.93121","1","22584","842","thing","Yeti in My Spaghetti","2","99","15","15","15","2015","2,3,4,5,6","3,4","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Zombie Dice","62871","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","58400748","6.08357","6.22163","1.0973","2256","33172","thing","Zombie Dice","2","99","20","20","10","2010","2,3,4,5,6,7,8","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
